ProductID;Price;
1101;€ 15,95;
1102;€ 15,96;
1103;€ 15,98;
1104;€ 15,99;
1105;€ 16,01;
1106;€ 18,23;
1107;€ 18,25;
1108;€ 18,27;
1109;€ 18,28;
1110;€ 18,30;
1111;€ 18,32;
2201;€ 46,55;
2202;€ 46,59;
2203;€ 46,63;
2204;€ 46,68;
2205;€ 46,72;
2206;€ 46,76;
2207;€ 60,21;
2208;€ 60,26;
2209;€ 60,31;
2210;€ 60,37;
2211;€ 60,42;
2212;€ 60,48;
2213;€ 60,53;
2214;€ 60,58;
2215;€ 60,64;
3301;€ 5,07;
3302;€ 19,72;
3303;€ 22,45;
3304;€ 24,73;
3305;€ 24,75;
4101;€ 15,27;
4102;€ 15,28;
4103;€ 15,30;
4104;€ 17,58;
4105;€ 17,59;
4106;€ 17,61;
5201;€ 38,54;
5202;€ 38,58;
5203;€ 38,61;
5204;€ 38,65;
5205;€ 38,68;
5206;€ 38,71;
5207;€ 38,75;
5208;€ 38,78;
5301;€ 13,63;
5302;€ 11,44;
5303;€ 43,47;
5401;€ 16,65;
5402;€ 16,66;
5403;€ 16,68;
5404;€ 27,05;
5405;€ 27,07;
6401;€ 14;
6402;€ 10;
6403;€ 17;
7401;€ 27,17;
7402;€ 27,19;
7403;€ 42;
7404;€ 42;
101151;€ 3.410,23;
101152;€ 3.413,17;
101171;€ 3.416,11;
101172;€ 3.419,05;
101181;€ 3.421,99;
101182;€ 3.424,93;
101201;€ 3.427,87;
101202;€ 3.430,80;
101221;€ 3.433,74;
101222;€ 3.436,68;
102151;€ 2.035,62;
102171;€ 2.037,36;
102181;€ 2.039,10;
102201;€ 2.040,84;
102221;€ 2.042,58;
103151;€ 1.057,32;
103171;€ 1.058,22;
103181;€ 1.059,12;
103201;€ 1.060,02;
103221;€ 1.060,92;
201161;€ 982,17;
201181;€ 983,01;
201201;€ 983,84;
201221;€ 984,67;
202161;€ 639,18;
202181;€ 639,72;
202201;€ 640,26;
202221;€ 640,80;
301151;€ 908,64;
301161;€ 909,41;
301181;€ 910,17;
301201;€ 910,94;
301221;€ 911,70;
302161;€ 572,46;
302162;€ 572,94;
302181;€ 573,42;
302182;€ 573,90;
302201;€ 574,38;
302202;€ 574,86;
302221;€ 575,34;
302222;€ 575,82;
303151;€ 396,15;
303152;€ 396,48;
303161;€ 396,81;
303162;€ 329,85;
303181;€ 329,85;
303182;€ 329,85;
303201;€ 329,85;
303202;€ 329,85;
303221;€ 329,85;
303222;€ 329,85;
401001;€ 281,85;
401002;€ 281,85;
402001;€ 274,35;
402002;€ 274,35;
