ProductID;Price;
1101;€ 15,95;
1102;€ 15,96;
1103;€ 15,98;
1104;€ 15,99;
1105;€ 16,01;
1106;€ 18,23;
1107;€ 18,25;
1108;€ 18,27;
1109;€ 18,28;
1110;€ 18,30;
1111;€ 18,32;
2201;€ 46,56;
2202;€ 46,59;
2203;€ 46,63;
2204;€ 46,68;
2205;€ 46,72;
2206;€ 46,76;
2207;€ 60,21;
2208;€ 60,26;
2209;€ 60,31;
2210;€ 60,37;
2211;€ 60,42;
2212;€ 60,48;
2213;€ 60,53;
2214;€ 60,58;
2215;€ 60,64;
3301;€ 5,07;
3302;€ 19,72;
3303;€ 22,45;
3304;€ 22,25;
3305;€ 24,75;
4103;€ 15,27;
4104;€ 17,55;
4105;€ 17,56;
4106;€ 17,58;
5201;€ 38,48;
5202;€ 38,51;
5203;€ 38,54;
5204;€ 38,58;
5205;€ 38,61;
5207;€ 38,65;
5208;€ 38,68;
5301;€ 13,59;
5302;€ 11,41;
5401;€ 16,59;
5402;€ 16,60;
5404;€ 26,93;
5405;€ 26,95;
6402;€ 10;
7401;€ 27,00;
7402;€ 27,03;
7403;€ 41;
7404;€ 41;
101151;€ 3.389,65;
101152;€ 3.392,59;
101171;€ 3.395,53;
101172;€ 3.398,47;
101182;€ 3.401,41;
101201;€ 3.404,35;
101202;€ 3.407,29;
101221;€ 3.410,23;
102151;€ 2.019,97;
102171;€ 2.021,71;
102181;€ 2.023,45;
102201;€ 2.025,19;
102221;€ 2.026,93;
103151;€ 1.049,23;
103171;€ 997,62;
103201;€ 1.051,02;
103221;€ 1.051,92;
201161;€ 973,85;
201181;€ 974,68;
201201;€ 975,51;
201221;€ 976,35;
202161;€ 633,78;
202181;€ 634,32;
202201;€ 634,86;
202221;€ 635,40;
301151;€ 900,99;
301161;€ 901,76;
301181;€ 902,52;
301201;€ 903,29;
301221;€ 904,05;
302161;€ 567,66;
302162;€ 568,14;
302181;€ 568,62;
302201;€ 569,10;
302202;€ 569,58;
302221;€ 570,06;
302222;€ 570,54;
303151;€ 392,52;
303152;€ 392,85;
303161;€ 393,18;
303162;€ 393,51;
303181;€ 393,84;
303182;€ 394,17;
303201;€ 394,50;
303202;€ 394,83;
303221;€ 395,16;
303222;€ 395,49;
401001;€ 338,22;
401002;€ 338,50;
402001;€ 329,77;
402002;€ 330,04;
