Orders export: 01/01/2018;;;;;
OrderID;ProductID;KlantID;OrderDatum;Prijs;Aantal
1;2201;1;12/02/2017;41.905;1
1002;5205;41;12/02/2017;33.90;3
1002;102181;41;12/02/2017;1652.86;3
1003;2213;77;12/02/2017;48.51;3
1003;5402;77;12/02/2017;13.78;3
1004;402002;18;12/02/2017;274.35;3
1005;1101;64;12/03/2017;14.50;2
1006;1107;7;12/03/2017;16.50;1
1006;5208;7;12/03/2017;33.90;1
1006;5402;7;12/03/2017;14.50;1
1007;1109;32;12/03/2017;16.50;3
1008;301161;11;12/03/2017;726.61;2
1008;302201;11;12/03/2017;431.87;1
1008;303201;11;12/03/2017;329.85;1
1009;1101;25;12/03/2017;14.50;2
1010;101182;54;12/03/2017;2939.85;3
1010;101201;54;12/03/2017;2645.87;2
1010;401001;54;12/03/2017;253.67;3
1011;1102;71;12/03/2017;14.50;2
1012;101171;66;12/03/2017;2939.85;1
1012;101172;66;12/03/2017;2939.85;2
1012;302221;66;12/03/2017;479.85;3
1013;3305;28;12/03/2017;20.81;3
1013;202161;28;12/03/2017;539.85;2
1014;1103;8;12/04/2017;14.50;2
1015;1104;72;12/04/2017;14.50;3
1016;401002;64;12/04/2017;281.85;2
1017;7403;38;12/05/2017;36.00;2
1018;1105;37;12/05/2017;14.50;3
1018;7403;37;12/05/2017;36.00;2
1019;1105;30;12/05/2017;14.50;3
1020;5202;25;12/05/2017;33.90;2
1021;6402;76;12/06/2017;9.00;2
1021;102201;76;12/06/2017;1739.85;3
1022;101202;75;12/07/2017;2792.86;1
1023;303202;73;12/07/2017;296.87;3
1024;1106;55;12/07/2017;16.50;2
1025;101201;64;12/07/2017;2939.85;3
1026;1111;39;12/07/2017;16.50;2
1027;1107;27;12/07/2017;16.50;2
1027;101202;27;12/07/2017;2939.85;1
1028;303221;18;12/08/2017;296.87;1
1029;1107;7;12/08/2017;16.50;3
1030;2202;52;12/08/2017;41.90;3
1030;301201;52;12/08/2017;764.85;1
1031;1108;30;12/08/2017;16.50;2
1032;101151;9;12/08/2017;2939.85;3
1032;101171;9;12/08/2017;2939.85;1
1032;401002;9;12/08/2017;281.85;2
1033;1101;1;12/08/2017;14.50;1
1033;1105;1;12/08/2017;13.05;2
1033;102181;1;12/08/2017;1739.85;2
1034;1109;51;12/09/2017;16.50;2
1035;1110;32;12/10/2017;16.50;2
1036;102221;15;12/10/2017;1739.85;1
1036;402002;15;12/10/2017;274.35;1
1037;1111;73;12/10/2017;16.50;3
1038;103201;65;12/10/2017;899.85;2
1039;2213;43;12/10/2017;53.90;3
1039;202221;43;12/10/2017;485.87;1
1040;2202;26;12/10/2017;41.90;1
1040;401001;26;12/10/2017;281.85;2
1041;301201;1;12/11/2017;764.85;1
1042;2210;60;12/11/2017;53.90;3
1042;5207;60;12/11/2017;32.21;2
1042;5405;60;12/11/2017;23.50;3
1043;301151;54;12/11/2017;726.61;3
1044;2201;26;12/11/2017;41.90;3
1045;5302;15;12/11/2017;9.98;3
1045;301151;15;12/11/2017;764.85;3
1045;302161;15;12/11/2017;479.85;3
1046;5205;61;12/12/2017;33.90;3
1046;7401;61;12/12/2017;23.50;1
1046;202201;61;12/12/2017;539.85;3
